WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
644,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000
645,0.0000,0.0009,0.0000,0.0000,0.0000,0.0027,0.0000,0.0000
646,0.0000,0.0009,0.0000,0.0000,0.0000,0.0076,0.0000,0.0000
647,0.0000,0.0009,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000
648,0.0000,0.0009,0.0000,0.0000,0.0000,0.0701,0.0000,0.0000
649,0.0000,0.0009,0.0000,0.0000,0.0000,0.2392,0.0000,0.0000
650,0.0000,0.0009,0.0000,0.0000,0.0000,0.6225,0.0000,0.0000
651,0.0000,0.0009,0.0000,0.0000,0.0000,0.9274,0.0000,0.0000
652,0.0000,0.0009,0.0000,0.0000,0.0000,0.9910,0.0000,0.0000
653,0.0000,0.0009,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
654,0.0000,0.0009,0.0000,0.0000,0.0000,0.9992,0.0000,0.0000
655,0.0000,0.0009,0.0000,0.0000,0.0000,0.9921,0.0000,0.0000
656,0.0000,0.0009,0.0000,0.0000,0.0000,0.9891,0.0000,0.0000
657,0.0000,0.0009,0.0000,0.0000,0.0000,0.9929,0.0000,0.0000
658,0.0000,0.0009,0.0000,0.0000,0.0000,0.9877,0.0000,0.0000
659,0.0000,0.0009,0.0000,0.0000,0.0000,0.9828,0.0000,0.0000
660,0.0000,0.0009,0.0000,0.0000,0.0000,0.9787,0.0000,0.0000
661,0.0000,0.0009,0.0000,0.0000,0.0000,0.9771,0.0000,0.0000
662,0.0000,0.0009,0.0000,0.0000,0.0000,0.9801,0.0000,0.0000
663,0.0000,0.0009,0.0000,0.0000,0.0000,0.9760,0.0000,0.0000
664,0.0000,0.0009,0.0000,0.0000,0.0000,0.9656,0.0000,0.0000
665,0.0000,0.0009,0.0000,0.0000,0.0000,0.9594,0.0000,0.0000
666,0.0000,0.0009,0.0000,0.0000,0.0000,0.9544,0.0000,0.0000
667,0.0000,0.0009,0.0000,0.0000,0.0000,0.9501,0.0000,0.0000
668,0.0000,0.0009,0.0000,0.0000,0.0000,0.9479,0.0000,0.0000
669,0.0000,0.0009,0.0000,0.0000,0.0000,0.9446,0.0000,0.0000
670,0.0000,0.0009,0.0000,0.0000,0.0000,0.9373,0.0000,0.0000
671,0.0000,0.0009,0.0000,0.0000,0.0000,0.9315,0.0000,0.0000
672,0.0000,0.0009,0.0000,0.0000,0.0000,0.9247,0.0000,0.0000
673,0.0000,0.0009,0.0000,0.0000,0.0000,0.9283,0.0000,0.0000
674,0.0000,0.0009,0.0000,0.0000,0.0000,0.9242,0.0000,0.0000
675,0.0000,0.0009,0.0000,0.0000,0.0000,0.9217,0.0000,0.0000
676,0.0000,0.0009,0.0000,0.0000,0.0000,0.9184,0.0000,0.0000
677,0.0000,0.0009,0.0000,0.0000,0.0000,0.9146,0.0000,0.0000
678,0.0000,0.0009,0.0000,0.0000,0.0000,0.9133,0.0000,0.0000
679,0.0000,0.0009,0.0000,0.0000,0.0000,0.9070,0.0000,0.0000
680,0.0000,0.0009,0.0000,0.0000,0.0000,0.9032,0.0000,0.0000
681,0.0000,0.0009,0.0000,0.0000,0.0000,0.8931,0.0000,0.0000
682,0.0000,0.0009,0.0000,0.0000,0.0000,0.7711,0.0000,0.0000
683,0.0000,0.0009,0.0000,0.0000,0.0000,0.3742,0.0000,0.0000
684,0.0000,0.0009,0.0000,0.0000,0.0000,0.0919,0.0000,0.0000
685,0.0000,0.0009,0.0000,0.0000,0.0000,0.0199,0.0000,0.0000
686,0.0000,0.0009,0.0000,0.0000,0.0000,0.0063,0.0000,0.0000
687,0.0000,0.0009,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000
688,0.0000,0.0009,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000
689,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
690,0.0000,0.0009,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000
691,0.0000,0.0009,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000
692,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
693,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000
694,0.0000,0.0009,0.0000,0.0000,0.0000,0.0005,0.0014,0.0000
695,0.0000,0.0009,0.0000,0.0000,0.0000,0.0019,0.0050,0.0000
696,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000
697,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0865,0.0000
698,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.3972,0.0000
699,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.9503,0.0000
700,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9996,0.0000
701,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,1.0000,0.0000
702,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9971,0.0000
703,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9954,0.0000
704,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9975,0.0000
705,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9943,0.0000
706,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9882,0.0000
707,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9828,0.0000
708,0.0000,0.0011,0.0000,0.0000,0.0000,0.0011,0.9796,0.0000
709,0.0000,0.0011,0.0000,0.0000,0.0000,0.0011,0.9785,0.0000
710,0.0000,0.0011,0.0000,0.0000,0.0000,0.0011,0.9796,0.0000
711,0.0000,0.0011,0.0000,0.0000,0.0000,0.0011,0.9735,0.0000
712,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9639,0.0000
713,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9642,0.0000
714,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.9385,0.0000
715,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.8877,0.0000
716,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.4784,0.0000
717,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0869,0.0000
718,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0193,0.0000
719,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0068,0.0000
720,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0036,0.0000
721,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0025,0.0000
722,0.0000,0.0009,0.0000,0.0000,0.0000,0.0011,0.0014,0.0000
